click,StMp,value
1,IG_AM,0.150257434
2,IG_AM,0.277937572
3,IG_AM,0.386432819
4,IG_AM,0.47862585
5,IG_AM,0.556966192
6,IG_AM,0.623535315
7,IG_AM,0.680101932
8,IG_AM,0.728168995
9,IG_AM,0.769013625
10,IG_AM,0.803721045
11,IG_AM,0.833213417
12,IG_AM,0.858274341
13,IG_AM,0.879569675
14,IG_AM,0.897665226
15,IG_AM,0.913041787
16,IG_AM,0.926107905
17,IG_AM,0.937210741
18,IG_AM,0.946645294
19,IG_AM,0.954662236
20,IG_AM,0.961474572
1,C_AM,0.112
2,C_AM,0.211456
3,C_AM,0.299772928
4,C_AM,0.37819836
5,C_AM,0.447840144
6,C_AM,0.509682048
7,C_AM,0.564597658
8,C_AM,0.613362721
9,C_AM,0.656666096
10,C_AM,0.695119493
11,C_AM,0.72926611
12,C_AM,0.759588306
13,C_AM,0.786514415
14,C_AM,0.810424801
15,C_AM,0.831657223
16,C_AM,0.850511614
17,C_AM,0.867254313
18,C_AM,0.88212183
19,C_AM,0.895324185
20,C_AM,0.907047877
1,IG_CM,0.151170145
2,IG_CM,0.279487878
3,IG_CM,0.3884078
4,IG_CM,0.480862282
5,IG_CM,0.559340406
6,IG_CM,0.625954981
7,IG_CM,0.682499421
8,IG_CM,0.73049603
9,IG_CM,0.771236984
10,IG_CM,0.805819123
11,IG_CM,0.835173474
12,IG_CM,0.860090324
13,IG_CM,0.88124049
14,IG_CM,0.899193382
15,IG_CM,0.914432334
16,IG_CM,0.92736761
17,IG_CM,0.938347459
18,IG_CM,0.947667483
19,IG_CM,0.955578597
20,IG_CM,0.962293787
1,C_CM,0.123595506
2,C_CM,0.231915162
3,C_CM,0.326846996
4,C_CM,0.410045682
5,C_CM,0.482961384
6,C_CM,0.546865033
7,C_CM,0.602870479
8,C_CM,0.651953903
9,C_CM,0.694970836
10,C_CM,0.73267107
11,C_CM,0.765711724
12,C_CM,0.794668702
13,C_CM,0.820046728
14,C_CM,0.842288143
15,C_CM,0.86178062
16,C_CM,0.878863914
17,C_CM,0.89383579
18,C_CM,0.906957209
19,C_CM,0.91845688
20,C_CM,0.928535243