Parameters,omega_cat,omega_prod,omega_comp,omega_trolley,omega_wtp
c1,1.25,-0.7,-0.17,0.14,4.51
c5,-0.05,-0.5,1.14,-0.07,-0.7
c7,0.08,-0.48,0.83,1.44,-1.09
c8,-1.89,1.16,-0.55,-0.64,0.01
c9,-1.08,0.92,1.24,0.55,0.27
c10,-1.23,0.66,0.39,-0.8,0.44
c11,-0.08,0.08,-0.89,0.79,-0.26
c12,-1.9,1.4,-0.27,0.17,0.32
c1_s2,-2.1,0.72,0.69,1.12,-4.22
c5_s2,-0.28,-0.66,0.01,0.98,0.53
c7_s2,-0.31,0.71,1.28,1.3,-0.35
c8_s2,1.75,-0.47,0.1,-0.09,0.19
c9_s2,0.9,-2.41,1.34,0.9,-0.74
c10_s2,0.31,-0.37,0.07,-0.17,-0.42
c11_s2,0.38,0.1,0.01,-0.34,-0.22
c12_s2,0.71,-2.17,-0.61,0.18,-0.78
c1_s3,-1.73,0.72,0.37,-0.53,-1.74
c5_s3,0.32,0.34,0.05,-0.7,0.77
c7_s3,-1.57,-0.32,2.14,2.56,0.91
c8_s3,1.58,-1.42,-0.02,0.82,-0.54
c9_s3,0.6,-1.46,-0.09,-0.36,-0.52
c10_s3,1.26,-0.64,-0.13,-0.11,-0.03
c11_s3,-0.18,-0.35,0.38,0.08,-0.19
c12_s3,1.19,-1.67,0.62,0.26,-0.02