clicks,p_purchase_cond1,p_purchase_cond2,p_purchase_cond3,p_purchase_cond4
4,0.46,0.29,0.5,0.5
5,0.46,0.29,0.5,0.25
6,0.25,0.5,0.56,0.3
7,0.33,0.75,0.6,0.28
8,0.43,0.5,0.44,0.25
9,0.5,0.33,0.33,0.33
10,0.55,0.57,0.33,0.25
11,0.6,0.33,0.33,1
12,0.29,0.6,0.67,1
13,0.52,0.33,1,1
14,0.75,0.5,0.67,1
15,0.5,0.44,0.6,1
16,0.33,0.38,1,1
17,1,0.44,0.83,1
18,0.5,0.44,0.67,1
19,0.63,0.44,0.33,1
20,0.75,0.44,0.83,1
21,0.88,0.44,0.67,1
22,1,0.44,0.58,1
23,1,0.44,0.58,0.5
24,1,0.44,0.5,0.5
25,1,0.44,0.25,1
26,1,0.44,0.63,0.83
27,1,0.44,0.63,0.67
28,1,0.44,0.63,0.67
29,1,0.44,0.63,1
30,1,0.44,0.63,0.67
31,1,0.44,0.63,0.5
32,0.67,0.44,1,0.75
33,0.5,0.44,1,1
34,0.5,1,1,0.75
35,0.75,1,1,0.5
36,0.75,1,1,0.75
37,1,1,1,1
38,1,1,0.5,1
39,1,1,0.75,1
40,1,1,0.75,1
41,1,1,0.75,1
42,1,1,1,1
43,1,1,1,1
44,1,1,1,1
45,1,1,1,1
46,1,1,1,0.75
47,1,1,1,0.75
48,1,1,1,0.75
49,1,1,1,0.75
50,1,1,1,0.75
51,1,1,1,0.75
52,1,1,1,0.75
53,1,1,1,0.75
54,1,1,1,0.75
55,1,1,1,0.75
56,1,1,1,0.75
57,1,1,1,0.75
58,1,1,1,0.75
59,1,1,1,0.75
60,1,1,1,0.5
61,1,1,1,0.75
62,1,1,1,0.75
63,1,1,1,0.75
64,1,1,1,0.75
65,1,1,1,0.75
66,1,1,1,0.75
67,1,1,1,0.75
68,1,1,1,0.75
69,1,1,1,0.75
70,1,1,1,0.75
71,1,1,1,0.75
72,1,1,1,0.75
73,1,1,1,0.75
74,1,1,1,0.75
75,1,1,1,0.75
76,1,1,1,0.75
77,1,1,1,0.75
78,1,1,1,0.75
79,1,1,1,0.75
80,1,1,1,0.75
81,1,1,1,0.75
82,1,1,1,0.75
83,1,1,1,1
84,1,1,1,1
85,1,1,1,1
86,1,1,1,1
87,1,1,1,1
88,1,1,1,1
89,1,1,1,1
90,1,1,1,1
91,1,1,1,1
92,1,1,1,1
93,1,1,1,1
94,1,1,1,1
95,1,1,1,1
96,1,1,1,1
97,1,1,1,1
98,1,1,1,1
99,1,1,1,1
100,1,1,1,1
101,1,1,1,1
102,1,1,1,1
103,1,1,1,1
104,1,1,1,1